Tid,Stockholm_kommun
1,17
2,14
3,16
4,16
5,22
6,17
7,14
8,44
9,23
10,21
11,18
12,18
13,14
14,16
15,19
16,18
17,23
18,24
19,22
20,27
21,23
22,21
23,21
24,14
25,20
26,15
27,21
28,18
29,24
30,21
31,19
32,25
33,19
34,18
35,20
36,17
37,20
38,16
39,20
40,16
41,17
42,18
43,19
44,18
45,15
46,18
47,17
48,17
49,14
50,15
51,18
52,19
53,18
54,16
55,17
56,20
57,23
58,16
59,15
60,16
61,20
